Turn 9: first=40.20687498268671 ms; landing=329.20304164872505 ms; target=120 Hz; OS presentation gaps=[0.01667337500839494, 0.01667337500839494, 0.01667345833266154, 0.01667337497929111, 0.016673541686031967, 0.01667337497929111, 0.01667337500839494, 0.01667345833266154, 0.016673333331709728, 0.012504874990554526, 0.008336750004673377, 0.008336666680406779, 0.008337000006577, 0.008336291648447514, 0.008336750004673377, 0.008336750004673377, 0.008336666651302949, 0.008336666680406779, 0.00833679165225476, 0.008336541679454967, 0.008336750004673377, 0.008336666651302949, 0.008336750004673377, 0.008336625003721565, 0.00833679168135859]; callback delays=[0.00046812501386739314, 0.000620041653746739, 0.0006092916592024267, 0.0005249583336990327, 0.0005868333391845226, 0.0005276666488498449, 0.0005645416676998138, 0.0005198333237785846, 0.0006348750030156225, 0.0006171250133775175, 0.004860000015469268, 0.0051535833335947245, 0.00434645832865499, 0.005229333328315988, 0.004349124996224418, 0.005207541660638526, 0.004014749982161447, 0.003718375024618581, 0.0038659999845549464, 0.0051267916860524565, 0.0036610416718758643, 0.00381970833404921, 0.0036158750008326024, 0.003650958329671994, 0.0005055416550021619, 0.0004504583193920553] s; unpresented progress=[0.9649042530451821]

Command execution=19.08662499045022 ms
Turn 8: first=54.48212500778027 ms; landing=322.9635416646488 ms; target=120 Hz; OS presentation gaps=[0.008336708327988163, 0.008336750004673377, 0.008336625003721565, 0.008336749975569546, 0.008336708357091993, 0.008336500002769753, 0.008336708327988163, 0.008336750004673377, 0.008336666651302949, 0.008336750004673377, 0.008336708327988163, 0.008336708327988163, 0.00833679168135859, 0.008336583327036351, 0.008336666680406779, 0.008336666651302949, 0.008336708327988163, 0.008336750004673377, 0.008336541679454967, 0.008336750004673377, 0.008336749975569546, 0.008336625003721565, 0.008336750004673377, 0.008336708327988163, 0.008336625003721565, 0.008336750004673377, 0.008336708327988163, 0.008336750004673377, 0.008336625003721565, 0.008336708327988163, 0.008336666680406779, 0.008336666651302949]; callback delays=[0.0036227916716597974, 0.003477916674455628, 0.0036866666632704437, 0.0035260416625533253, 0.0036762916715815663, 0.003546416643075645, 0.003117791668046266, 0.002997708332259208, 0.0030312916496768594, 0.002793249994283542, 0.0034339166595600545, 0.00269220833433792, 0.003430416662013158, 0.003137041669106111, 0.003028166654985398, 0.0027757083298638463, 0.002885416673962027, 0.0024542083556298167, 0.002263750007841736, 0.0024994166451506317, 0.0018294999899808317, 0.0014045416901353747, 0.001929541671415791, 0.001747250003973022, 0.0014134999946691096, 0.0012769166787620634, 0.0012181666679680347, 0.0017665416817180812, 0.0011787083349190652, 0.0013258749968372285, 0.001112666679546237, 0.0005691249971278012, 0.0004900833300780505] s; unpresented progress=[0.03852407868198542, 0.056319744054239104]

Command execution=12.190458335680887 ms
start=22.426208335673437ms; CPU=6.010208337102085ms; GPU queue=0.8995416283141822ms; GPU=3.7027916696388274ms; target=37.80854167416692ms
start=32.14233333710581ms; CPU=3.0371666653081775ms; GPU queue=0.4957083147019148ms; GPU=2.5137916672974825ms; target=46.145208325469866ms
start=39.07816667924635ms; CPU=3.3149583323393017ms; GPU queue=0.6470833031926304ms; GPU=2.938416670076549ms; target=54.481875005876645ms
start=46.48033334524371ms; CPU=3.2196666579693556ms; GPU queue=0.16208330634981394ms; GPU=3.729124990059063ms; target=62.818541657179594ms
start=54.577375005465ms; CPU=3.4175416512880474ms; GPU queue=0.18504165927879512ms; GPU=3.0710416613146663ms; target=71.15520833758637ms
start=62.897249998059124ms; CPU=3.2887916604522616ms; GPU queue=0.18216663738712668ms; GPU=3.78979166271165ms; target=79.49187498888932ms
start=71.25000000814907ms; CPU=3.467874979833141ms; GPU queue=0.2664583153091371ms; GPU=3.798499994445592ms; target=87.8285416692961ms
start=79.58008334389888ms; CPU=3.312999993795529ms; GPU queue=0.1753749675117433ms; GPU=4.128041677176952ms; target=96.16520832059905ms
start=88.11745833372697ms; CPU=3.2973333436530083ms; GPU queue=0.15954163973219693ms; GPU=3.545791667420417ms; target=104.50187500100583ms
start=96.45874999114312ms; CPU=3.179874998750165ms; GPU queue=0.14945832663215697ms; GPU=3.4756249806378037ms; target=112.83854165230878ms
start=104.87999999895692ms; CPU=2.663541672518477ms; GPU queue=0.1460416242480278ms; GPU=3.454166668234393ms; target=121.17520833271556ms
start=113.21300000417978ms; CPU=2.537583321100101ms; GPU queue=0.15416665701195598ms; GPU=3.3597500005271286ms; target=129.51187501312234ms
start=121.6204583470244ms; CPU=2.5042916531674564ms; GPU queue=0.15545831411145627ms; GPU=3.3346249838359654ms; target=137.84854166442528ms
start=129.9379166739527ms; CPU=2.295999991474673ms; GPU queue=0.1389583048876375ms; GPU=3.325708326883614ms; target=146.18520834483206ms
start=138.29741667723283ms; CPU=2.908249996835366ms; GPU queue=0.1492916198913008ms; GPU=2.9727916698902845ms; target=154.521874996135ms
start=146.62858334486373ms; CPU=2.178249997086823ms; GPU queue=0.13462494825944304ms; GPU=3.2250000222120434ms; target=162.8585416765418ms
start=155.0145416695159ms; CPU=2.8577916673384607ms; GPU queue=0.1566249702591449ms; GPU=2.498291665688157ms; target=171.19520832784474ms
start=163.39466665522195ms; CPU=2.5269583566114306ms; GPU queue=0.15658329357393086ms; GPU=2.7076250116806477ms; target=179.53187500825152ms
start=171.664083347423ms; CPU=2.4835416406858712ms; GPU queue=0.14770831330679357ms; GPU=2.58454168215394ms; target=187.86854165955447ms
start=179.81324999709614ms; CPU=2.4249583366326988ms; GPU queue=0.1346249773632735ms; GPU=2.1951666567474604ms; target=196.20520833996125ms
start=188.32154167466797ms; CPU=2.3695416457485408ms; GPU queue=0.13199998647905886ms; GPU=2.2786666522733867ms; target=204.5418749912642ms
start=196.668624994345ms; CPU=1.9121250079479069ms; GPU queue=0.19037496531382203ms; GPU=2.125083323335275ms; target=212.87854167167097ms
start=204.95799998752773ms; CPU=1.7675416893325746ms; GPU queue=0.13979163486510515ms; GPU=2.0289999956730753ms; target=221.21520832297392ms
start=213.31408334663138ms; CPU=1.9934166630264372ms; GPU queue=0.24533329997211695ms; GPU=1.6992499877233058ms; target=229.5518750033807ms
start=221.62858332740143ms; CPU=1.3696250098291785ms; GPU queue=0.5378749629016966ms; GPU=1.9341666775289923ms; target=237.88854165468365ms
start=229.9337500007823ms; CPU=0.978041673079133ms; GPU queue=0.5687916418537498ms; GPU=1.7451666644774377ms; target=246.22520833509043ms
start=238.37524998816662ms; CPU=1.3915000017732382ms; GPU queue=0.29124997672624886ms; GPU=1.813833339838311ms; target=254.56187498639338ms
start=246.70320833683945ms; CPU=1.225249987328425ms; GPU queue=0.4267499898560345ms; GPU=1.6961666697170585ms; target=262.89854166680016ms
start=255.0680833228398ms; CPU=0.8619583386462182ms; GPU queue=0.6897083076182753ms; GPU=1.945124997291714ms; target=271.2352083181031ms
start=263.38462499552406ms; CPU=0.7454583246726543ms; GPU queue=0.36087498301640153ms; GPU=1.809041656088084ms; target=279.5718749985099ms
start=271.7381250113249ms; CPU=0.6707916618324816ms; GPU queue=0.3352916392032057ms; GPU=1.8417499959468842ms; target=287.90854167891666ms
start=280.1059166667983ms; CPU=1.184291671961546ms; GPU queue=0.6531666440423578ms; GPU=1.641749986447394ms; target=296.2452083302196ms
start=288.4170416800771ms; CPU=0.6234166503418237ms; GPU queue=0.3341249830555171ms; GPU=1.7929166497197002ms; target=304.5818750106264ms
start=296.74108332255855ms; CPU=0.7733750098850578ms; GPU queue=0.3636666515376419ms; GPU=2.00695832609199ms; target=312.91854166192934ms
start=305.1947083440609ms; CPU=0.4467916442081332ms; GPU queue=0.33258332405239344ms; GPU=2.0277916628401726ms; target=321.2552083423361ms

Turn 7: first=48.90804167371243 ms; landing=329.2781666677911 ms; target=120 Hz; OS presentation gaps=[0.016673291684128344, 0.01667337497929111, 0.01667358333361335, 0.01667325000744313, 0.016673625010298565, 0.01667337497929111, 0.012504875019658357, 0.008336666651302949, 0.008336708327988163, 0.008336750004673377, 0.008336666680406779, 0.008336625003721565, 0.008336666651302949, 0.00833679168135859, 0.008336708327988163, 0.008336625003721565, 0.008336750004673377, 0.008336708327988163, 0.008336708327988163, 0.00833679165225476, 0.008336583356140181, 0.008336708327988163, 0.008336541650351137, 0.00833679168135859, 0.008336625003721565, 0.008336750004673377, 0.008336666651302949]; callback delays=[0.00040420834557153285, 0.000604458327870816, 0.0005592916859313846, 0.0005788750131614506, 0.0005487083399202675, 0.0005295833107084036, 0.000575875019421801, 0.0032805833325255662, 0.004324166686274111, 0.0038180416740942746, 0.004279166663764045, 0.004494624998187646, 0.004112333321245387, 0.004098708333913237, 0.003917291644029319, 0.004589708318235353, 0.003706666670041159, 0.0047086666454561055, 0.0035914999898523092, 0.003762541658943519, 0.003700416680658236, 0.00486570832435973, 0.003671708342153579, 0.0036476666864473373, 0.003873791662044823, 0.003670208330731839, 0.0005108333134558052, 0.00041341668111272156] s; unpresented progress=[0.9469281844093076]

Command execution=18.294708337634802 ms
start=29.95937500963919ms; CPU=1.9772083323914558ms; GPU queue=0.789041630923748ms; GPU=1.2678750208579004ms; target=44.73954168497585ms
start=39.29758333833888ms; CPU=1.0520416835788637ms; GPU queue=0.48116661491803825ms; GPU=2.1003750152885914ms; target=53.076208336278796ms
start=46.2577500147745ms; CPU=1.4972083445172757ms; GPU queue=0.5171666271053255ms; GPU=1.512999995611608ms; target=61.412875016685575ms
start=54.580416675889865ms; CPU=1.2699166545644403ms; GPU queue=0.3670833248179406ms; GPU=2.1015833190176636ms; target=69.74954166798852ms
start=69.83491667779163ms; CPU=1.667208329308778ms; GPU queue=0.44166663428768516ms; GPU=2.426708349958062ms; target=86.42287499969825ms
start=86.5275000105612ms; CPU=2.1692916634492576ms; GPU queue=0.5535833188332617ms; GPU=2.2381666640285403ms; target=103.09620833140798ms
start=103.22912500123493ms; CPU=2.90250001125969ms; GPU queue=0.22266662563197315ms; GPU=2.6409999991301447ms; target=119.7695416631177ms
start=119.90245833294466ms; CPU=3.1361666915472597ms; GPU queue=0.22649994934909046ms; GPU=3.1513750145677477ms; target=136.44287502393126ms
start=136.57679167226888ms; CPU=3.4270833421032876ms; GPU queue=0.24049996864050627ms; GPU=4.057624988490716ms; target=153.116208355641ms
start=153.28891668468714ms; CPU=3.638624999439344ms; GPU queue=0.23824995150789618ms; GPU=3.851458342978731ms; target=169.78954168735072ms
start=161.60887500154786ms; CPU=3.0054583330638707ms; GPU queue=0.20416665938682854ms; GPU=3.663291659904644ms; target=178.12620833865367ms
start=170.2777083555702ms; CPU=3.732083336217329ms; GPU queue=0.23712494294159114ms; GPU=3.617833339376375ms; target=186.46287501906045ms
start=178.5655000130646ms; CPU=3.2840833300724626ms; GPU queue=0.2122916339430958ms; GPU=3.552375012077391ms; target=194.7995416703634ms
start=186.9541666819714ms; CPU=3.677458327729255ms; GPU queue=0.23012497695162892ms; GPU=3.5941250098403543ms; target=203.13620835077018ms
start=195.3180416894611ms; CPU=3.888999985065311ms; GPU queue=0.2055833174381405ms; GPU=3.632999985711649ms; target=211.47287500207312ms
start=203.59041666961275ms; CPU=3.56437501613982ms; GPU queue=0.18770829774439335ms; GPU=3.7046250072307885ms; target=219.8095416824799ms
start=211.82366667198949ms; CPU=3.6632083356380463ms; GPU queue=0.20487498841248453ms; GPU=3.7244999839458615ms; target=228.14620833378285ms
start=220.20320835872553ms; CPU=3.4411666565574706ms; GPU queue=0.1684999733697623ms; GPU=2.9607499891426414ms; target=236.48287501418963ms
